comment,rating,url_website,company_name,company_website,company_logo
At the moment I don't have mixed feelings.,3,https://www.trustpilot.com/review/lightningsecurity.io,Lightningsecurity,http://127.0.0.1?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5d5a1463e8a4a30001e871d1/198x149.png
Good place. Staff is nice and the prices are fair.,4,https://www.trustpilot.com/review/agrizoo-shop.com,Agri Zoo Snc,http://agrizoo-shop.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5d2d854b546fab000103f435/198x149.png
i like this and donot miss this site,5,https://www.trustpilot.com/review/agrizoo-shop.com,Agri Zoo Snc,http://agrizoo-shop.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5d2d854b546fab000103f435/198x149.png
It is a very wonderful and best service. I enjoyed it very much.,5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
"It's cool, i love it.",5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Although i miss collecting bottles of my fav brands  this makes sense financially and environmentally,5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Very satisfied with this company. Guys were very friendly and and welcoming. Good products also. Thanks very much.,4,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Service was good . Product is okay,5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
It is very wonderful and best service.Great experience.I enjoyed it very much.,5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Wonderful experience! I enjoyed the service very much!,5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Service was good,5,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Product is okay.,4,https://www.trustpilot.com/review/nomuggle.com,xlb,http://127.1:9222/json/list?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5cd27d7177f0fd0001a78bc9/198x149.png
Excellent ...,5,https://www.trustpilot.com/review/rentokil.com,Rentokil,http://rentokil.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5d8dfa4e03cb6f0001eef390/198x149.png
"Coool service, affordable prices and aa great variety of the products available.",4,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
"The magnificent organization, exceptionally accommodating in deciding what model would suit my framework and inside my spending limit and not pushy at all. The siphons were posted and I got them the next day. I'm satisfied with both assistance and the merchandise provided which were well inside spending that much so I would now be able to arrange something different. I would not stop for a second to either utilize them again or recommend them to anybody.",5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
"good costomer service, easy to talk to and very helpful",5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
"Great value for your money! I ordered an item from them last month and got it pretty early. The customer service rep was very, very helpful; the rep went above and beyond to help me pick out the right fit. Great prices, highly recommend!",5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
Best deal available on the store.. I bought at most affordable price..,5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
"Superb company, very helpful in decided what model would suit my system and within my budget and not pushy in any way. The pumps were posted and I received them the following day. I'm very pleased with both service and the goods supplied which were well within budget that much so that I can now order something else. I would not hesitate to either use them again or recommend them to anyone.",4,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
Fast awsome  never been happier  I'll keep using,5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
Service was fast.  I thought the price for what I got was great.,5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
superb work..! Perfect services. They are quick and reliable too.,4,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
"Recently, I increasingly give priority to buying cosmetics on the official websites of brands. Yes, usually, the order is a little more expensive than if you buy in online chain stores. But everything pays off with a large number of gifts from the brand, cool gift packaging, quality and fast delivery!",5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
Excellent service ordered Sunday afternoon and received the delivery on Tuesday morning. Price was the cheapest around as well. Thanks,5,https://www.trustpilot.com/review/aquaticdeal.com,AquaticDeal,http://aquaticdeal.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click,//s3-eu-west-1.amazonaws.com/tpd/logos/5d2a23cc7fa2aa00017daa20/0x0.png
